"rank","team_id","team_name"
247,654,"Southeast Mo. St."
248,26172,"A&M-Corpus Chris"
249,352,"Lehigh"
250,501,"Northern Ariz."
251,229,"Fla. Atlantic"
252,28600,"Lipscomb"
253,456,"UNC Asheville"
254,317,"James Madison"
255,272,"Hartford"
256,111,"UC Riverside"
257,302,"Ill.-Chicago"
258,792,"Winthrop"
259,19651,"High Point"
260,550,"Portland St."
261,2707,"UMKC"
262,670,"Texas St."
263,101,"Cal St. Northridge"
264,149,"Coastal Caro."
265,439,"Monmouth"
266,198,"East Tenn. St."
267,699,"Texas Southern"
268,769,"Western Caro."
269,2711,"North Florida"
270,295,"Idaho"
271,494,"North Dakota"
272,630,"San Jose St."
273,283,"Hofstra"
274,220,"Fairfield"
275,1092,"Gardner-Webb"
276,485,"Norfolk St."
277,563,"Radford"
278,129,"Central Mich."
279,460,"UNC Wilmington"
280,632,"Savannah St."
281,369,"Loyola Maryland"
282,474,NA
283,47,"Ball St."
284,692,"Tennessee Tech"
285,574,"Rice"
286,222,"Fairleigh Dickinson"
287,471,"NJIT"
288,483,"Nicholls St."
289,691,"Tennessee St."
290,43,"Austin Peay"
291,482,"Niagara"
292,718,"Tulane"
293,440,"Montana St."
294,7,"Alabama St."
295,505,NA
296,726,"Navy"
297,693,"Chattanooga"
298,368,NA
299,136,"Chicago St."
300,201,"Eastern Ill."
301,660,"SIU Edwardsville"
302,706,"UTSA"
303,6,"Alabama A&M"
304,655,"Southeastern La."
305,316,"Jacksonville"
306,536,"Tex.-Pan American"
307,165,"Coppin St."
308,314,"Jackson St."
309,355,"Liberty"
310,315,"Jacksonville St."
311,178,"Delaware St."
312,361,"LIU Brooklyn"
313,127,"Central Conn. St."
314,600,"Saint Francis (PA)"
315,402,"McNeese St."
316,590,"Sacred Heart"
317,108,"UC Davis"
318,228,"Florida A&M"
319,253,"Ga. Southern"
320,391,"UMBC"
321,469,"New Hampshire"
322,695,"UT Martin"
323,2678,"Ark.-Pine Bluff"
324,17,"Alcorn"
325,167,"Cornell"
326,1004,"Central Ark."
327,459,"UNC Greensboro"
328,27,"Appalachian St."
329,2699,"IUPUI"
330,62,"Binghamton"
331,115,"Campbell"
332,625,"Samford"
333,244,"Furman"
334,380,"Maine"
335,393,"UMES"
336,647,"South Carolina St."
337,678,"Stetson"
338,346,"Lamar"
339,61,"Bethune-Cookman"
340,488,"N.C. A&T"
341,287,"Houston Baptist"
342,1157,"Kennesaw St."
343,553,"Prairie View"
344,290,"Howard"
345,667,"Southern Utah"
346,2,NA
347,141,"Citadel"
348,432,"Mississippi Val."
349,261,"Grambling"
350,363,"Longwood"
351,1320,"Presbyterian"
