"rank","team_id","team_name"
263,650,"South Dakota"
264,624,"Sam Houston St."
265,1068,"Elon"
266,792,"Winthrop"
267,450,"Mt. St. Mary's"
268,270,"Hampton"
269,625,"Samford"
270,277,"Hawaii"
271,172,"Dartmouth"
272,440,"Montana St."
273,102,"Sacramento St."
274,693,"Chattanooga"
275,494,"North Dakota"
276,2707,"UMKC"
277,469,"New Hampshire"
278,439,"Monmouth"
279,204,"Eastern Mich."
280,541,"Pepperdine"
281,627,"San Diego"
282,534,"Pacific"
283,272,"Hartford"
284,488,"N.C. A&T"
285,111,"UC Riverside"
286,600,"Saint Francis (PA)"
287,655,"Southeastern La."
288,786,"William & Mary"
289,236,"Fordham"
290,386,"Marist"
291,630,"San Jose St."
292,61,"Bethune-Cookman"
293,665,"Southern U."
294,725,"Army"
295,101,"Cal St. Northridge"
296,355,"Liberty"
297,72,"Bradley"
298,294,"Idaho St."
299,459,"UNC Greensboro"
300,290,"Howard"
301,726,"Navy"
302,7,"Alabama St."
303,660,"SIU Edwardsville"
304,741,"VMI"
305,26172,"A&M-Corpus Chris"
306,6,"Alabama A&M"
307,657,"Southern California"
308,464,"Neb. Omaha"
309,67,"Boston College"
310,471,"NJIT"
311,1157,"Kennesaw St."
312,2678,"Ark.-Pine Bluff"
313,617,"Saint Peter's"
314,153,"Colgate"
315,141,"Citadel"
316,1004,"Central Ark."
317,498,"La.-Monroe"
318,551,"Portland"
319,631,"Santa Clara"
320,553,"Prairie View"
321,116,"Canisius"
322,393,"UMES"
323,314,"Jackson St."
324,536,"Tex.-Pan American"
325,228,"Florida A&M"
326,222,"Fairleigh Dickinson"
327,28,"Arizona St."
328,80,"Brown"
329,81,"Bryant"
330,563,"Radford"
331,108,"UC Davis"
332,17,"Alcorn"
333,483,"Nicholls St."
334,287,"Houston Baptist"
335,695,"UT Martin"
336,503,"Northern Ill."
337,391,"UMBC"
338,136,"Chicago St."
339,501,"Northern Ariz."
340,732,"Utah"
341,62,"Binghamton"
342,647,"South Carolina St."
343,711,"Towson"
344,363,"Longwood"
345,261,"Grambling"
