Rank,Team,Rating,High,Low,Last
148,S Florida (12-19),0.511,40,178,149
149,Jksnville St (15-11),0.511,23,321,148
150,Geo Wshgtn (13-17),0.511,105,294,150
151,W Kentucky (19-16),0.51,14,316,151
152,W Virginia (13-19),0.509,52,332,152
153,Towson (17-13),0.509,85,343,153
154,GA Tech (16-15),0.509,17,206,154
155,Boston U (17-13),0.508,132,293,155
156,Northeastrn (20-13),0.507,97,254,156
157,Utah (13-18),0.507,55,347,157
158,San Diego (14-18),0.507,94,335,158
159,Lafayette (18-15),0.506,16,323,159
160,Arkansas St (18-12),0.504,103,255,161
161,Cal Poly (16-14),0.504,155,332,162
162,Northwestern (13-19),0.503,25,170,160
163,S Alabama (16-13),0.502,92,267,163
164,Oakland (14-17),0.501,105,256,164
165,San Fransco (13-16),0.501,39,303,165
166,Bryant (19-12),0.501,27,346,166
167,Savannah St (17-15),0.501,105,257,167
168,Wake Forest (13-18),0.499,80,241,168
169,James Mad (21-15),0.498,156,321,169
170,WI-Grn Bay (17-16),0.498,99,323,170
171,Norfolk St (21-12),0.498,106,263,171
172,IL-Chicago (17-16),0.497,18,286,172
173,LIU-Brooklyn (20-14),0.496,18,331,173
174,Southern (20-10),0.496,67,323,174
175,Tulane (19-15),0.495,33,232,175
176,VA Tech (13-19),0.495,46,302,176
177,Nevada (11-19),0.495,66,327,177
178,AR Lit Rock (16-15),0.494,60,210,178
179,Fairfield (19-16),0.494,56,182,179
180,Elon (19-12),0.494,28,315,180
181,Bradley (18-17),0.493,23,267,181
182,Morehead St (13-18),0.492,44,226,182
183,Manhattan (14-18),0.489,134,289,184
184,Penn State (10-21),0.489,76,270,183
185,Oregon St (14-18),0.489,13,213,185
186,TX Southern (17-14),0.489,42,317,186
187,Clemson (13-18),0.488,119,225,187
188,S Illinois (13-17),0.486,19,311,188
189,Youngs St (15-16),0.484,37,292,189
190,Houston (19-13),0.483,37,341,190
191,Toledo (15-13),0.483,171,306,191
192,Charl South (16-13),0.483,45,277,192
193,Quinnipiac (15-16),0.481,37,254,193
194,Wash State (13-19),0.481,108,218,194
195,Hartford (17-14),0.48,48,321,195
196,Yale (12-17),0.478,136,287,196
197,Gard-Webb (18-13),0.478,122,325,197
198,Idaho (11-18),0.478,118,326,198
199,Missouri St (9-22),0.477,125,334,199
200,Central Conn (13-17),0.476,15,241,200
201,Ark Pine Bl (16-14),0.476,8,333,201
202,Rhode Island (8-21),0.476,126,314,202
203,Cleveland St (11-18),0.474,88,247,203
204,Army (15-15),0.474,4,302,204
205,DePaul (11-21),0.473,120,293,205
206,NC A&T (19-17),0.473,183,340,206
207,Drexel (13-18),0.473,57,266,207
208,Marshall (12-19),0.472,60,325,208
209,Loyola Mymt (10-22),0.472,47,262,209
210,Georgia St (14-16),0.471,16,277,210
211,St Fran (NY) (12-18),0.47,2,224,211
212,Pepperdine (11-18),0.47,21,304,212
213,SE Missouri (15-16),0.466,170,295,213
214,S Methodist (14-17),0.466,1,226,214
215,Texas Tech (11-20),0.466,25,288,215
216,SC Upstate (14-17),0.465,148,322,216
217,Stetson (14-16),0.465,42,327,217
218,Loyola-Chi (14-16),0.464,80,303,218
219,Sam Hous St (14-17),0.464,83,319,219
220,NC-Asheville (13-16),0.463,90,326,220
221,Buffalo (12-20),0.463,94,328,221
222,North Dakota (14-17),0.462,107,346,222
223,Duquesne (8-22),0.462,114,233,223
224,Hawaii (16-15),0.462,5,278,224
225,LA Lafayette (12-20),0.461,137,331,225
226,N Florida (12-19),0.461,142,303,226
227,SE Louisiana (11-18),0.461,63,341,227
228,Fla Atlantic (13-18),0.461,68,325,228
229,S Carolina (14-18),0.461,11,247,229
230,Portland (9-21),0.46,100,299,230
231,Miss State (10-22),0.46,40,276,231
232,Fordham (7-24),0.459,207,336,232
233,Ball State (14-15),0.457,106,291,233
234,CS Bakersfld (10-16),0.456,195,341,234
235,Morgan St (17-15),0.455,1,299,236
236,E Michigan (13-18),0.455,71,295,235
237,Lipscomb (11-18),0.454,19,287,237
238,UC Davis (14-17),0.453,44,328,238
239,TX Christian (10-21),0.453,67,323,239
240,Brown (12-15),0.452,102,317,240
241,TN Tech (10-17),0.45,49,287,241
242,Cal St Nrdge (12-17),0.45,23,310,242
243,UCSB (9-20),0.448,45,254,243
244,W Carolina (12-19),0.448,96,321,244
245,Cornell (12-18),0.447,24,327,245
246,McNeese St (11-17),0.447,43,255,246
247,Holy Cross (12-18),0.447,2,261,247
248,South Dakota (8-20),0.447,97,341,248
249,Sacred Hrt (9-20),0.446,93,272,249
250,North Texas (11-19),0.446,59,279,250
251,Wofford (12-19),0.446,46,270,251
252,IPFW (14-17),0.445,101,311,252
253,High Point (15-14),0.445,199,330,253
254,N Arizona (11-21),0.443,20,341,254
255,Auburn (9-23),0.443,13,275,255
256,Miami (OH) (8-22),0.443,47,287,256
257,Colgate (11-21),0.442,19,321,257
258,N Colorado (11-18),0.442,190,343,258
259,Delaware St (13-18),0.442,127,287,259
260,San Jose St (8-20),0.441,139,346,260
261,Wm & Mary (12-17),0.441,49,308,261
262,TX-San Ant (10-22),0.441,2,298,262
263,Marist (10-21),0.44,57,302,263
264,N Kentucky (11-16),0.44,1,345,264
265,App State (13-16),0.44,254,347,266
266,Central Mich (10-20),0.44,17,330,265
267,Coastal Car (11-15),0.439,46,341,267
268,Winthrop (11-17),0.439,120,346,268
269,GA Southern (12-19),0.439,24,298,269
270,CS Fullerton (12-18),0.437,111,324,270
271,E Tenn St (9-22),0.437,95,314,271
272,Columbia (10-16),0.437,164,321,272
273,Maine (10-19),0.437,224,344,273
274,Texas State (11-22),0.436,78,303,274
