"","Rank","Team","W.L","SOS","Seed","w","l"
"83","83","Washington","17-15",20.4,"","29","3"
"84","84","Princeton","19-8",22.4,"","29","3"
"85","85","Wake Forest","17-16",20.4,"","29","3"
"86","86","Belmont","23-9",26.5,"","29","3"
"87","87","Texas Tech","14-18",17.6,"","29","3"
"88","88*","New Mexico State","23-9",26.6,"15","29","3"
"89","89","Oregon State","16-15",19.6,"","29","3"
"90","90","UTEP","21-10",24.7,"","29","3"
"91","91","Iona","22-10",25.8,"","29","3"
"92","92*","Mercer","23-8",26.8,"15","29","3"
"93","93","Richmond","19-13",22.9,"","29","3"
"94","94","Purdue","15-17",18.9,"","29","3"
"95","95","Penn State","15-17",19.1,"","29","3"
"96","96","UNLV","20-12",24.1,"","29","3"
"97","97*","Boston Universit","24-10",28.2,"15","29","3"
"98","98","Western Michigan","20-9",24.2,"","29","3"
"99","99","UC Irvine","21-10",25.2,"","29","3"
"100","100","Northwestern","14-18",18.2,"","29","3"
"101","101","Seton Hall","17-16",21.3,"","29","3"
"102","102","Towson","22-10",26.6,"","29","3"
"103","103","Missouri State","19-12",23.7,"","29","3"
"104","104","Houston","17-15",21.9,"","29","3"
"105","105","Miami (FL)","17-16",21.9,"","29","3"
"106","106","Akron","21-11",25.9,"","29","3"
"107","107*","Eastern Kentucky","22-9",26.9,"15","29","3"
"108","108","Incarnate Word","9-6",14.1,"","29","3"
"109","109*","Stony Brook","22-9",27.2,"16","29","3"
"110","110","Ohio","22-11",27.3,"","29","3"
"111","111","Butler","13-17",18.3,"","29","3"
"112","112","Cleveland State","19-11",24.3,"","29","3"
"113","113","Vermont","20-10",25.3,"","29","3"
"114","114","Louisiana-Lafaye","17-11",22.4,"","29","3"
"115","115","IPFW","21-10",26.4,"","29","3"
"116","116","Georgia Tech","16-17",21.4,"","29","3"
"117","117","Notre Dame","15-17",20.5,"","29","3"
"118","118","Tulsa","19-12",24.5,"","29","3"
"119","119","Canisius","21-11",26.6,"","29","3"
"120","120","Vanderbilt","15-16",20.6,"","29","3"
"121","121","Texas A&M","17-15",22.7,"","29","3"
"122","122","Western Kentucky","19-11",24.8,"","29","3"
"123","123","Utah Valley","18-10",23.8,"","29","3"
"124","124","St. Bonaventure","17-14",22.8,"","29","3"
"125","125","Buffalo","18-10",23.9,"","29","3"
"126","126","Utah State","17-14",22.9,"","29","3"
"127","127","Sam Houston Stat","20-9",26,"","29","3"
"128","128","Eastern Michigan","18-13",24.1,"","29","3"
"129","129","Quinnipiac","20-11",26.2,"","29","3"
"130","130","Wyoming","16-14",22.3,"","29","3"
"131","131","Auburn","14-16",20.3,"","29","3"
"132","132","Davidson","19-12",25.4,"","29","3"
"133","133","La Salle","15-16",21.5,"","29","3"
"134","134","Fresno State","15-16",21.5,"","29","3"
"135","135","Columbia","18-12",24.5,"","29","3"
"136","136","South Dakota Sta","16-12",22.6,"","29","3"
"137","137","Alabama","12-19",18.8,"","29","3"
"138","138","Pacific","14-15",20.8,"","29","3"
"139","139","Hawaii","18-11",24.8,"","29","3"
"140","140","American Univers","20-12",27,"","29","3"
"141","141","Yale","14-13",21.1,"","29","3"
"142","142*","Milwaukee","20-13",27.2,"16","29","3"
"143","143","William & Mary","19-12",26.3,"","29","3"
"144","144","Northern Iowa","15-15",22.3,"","29","3"
"145","145","South Carolina","14-19",21.3,"","29","3"
"146","146","DePaul","12-21",19.3,"","29","3"
"147","147","Murray State","16-11",23.4,"","29","3"
"148","148","Robert Morris","21-13",28.5,"","29","3"
"149","149","Long Beach State","13-16",20.6,"","29","3"
"150","150*","Weber State","15-11",22.7,"16","29","3"
"151","151","Arkansas State","16-12",23.7,"","29","3"
"152","152","UAB","16-13",23.7,"","29","3"
"153","153","Holy Cross","19-13",26.8,"","29","3"
"154","154","Drexel","16-14",23.9,"","29","3"
"155","155*","Wofford","17-12",25,"16","29","3"
"156","156","Morehead State","18-13",26.1,"","29","3"
"157","157","Northwestern Sta","15-13",23.1,"","29","3"
"158","158","Charlotte","17-14",25.1,"","29","3"
"159","159","Pepperdine","14-16",22.1,"","29","3"
"160","160*","Southern Univers","16-13",24.1,"16","29","3"
"161","161","UCF","11-18",19.1,"","29","3"
"162","162","San Diego","14-16",22.2,"","29","3"
"163","163","Illinois State","15-15",23.2,"","29","3"
"164","164","Nevada","15-17",23.2,"","29","3"
"165","165","Rhode Island","13-18",21.3,"","29","3"
"166","166","Portland","15-16",23.3,"","29","3"
"167","167","USC","10-21",18.3,"","29","3"
"168","168","Colorado State","14-16",22.4,"","29","3"
"169","169","Brown","14-13",22.6,"","29","3"
"170","170","Elon","16-13",24.7,"","29","3"
"171","171","Florida Gulf Coa","20-12",28.7,"","29","3"
"172","172","Denver","15-15",23.7,"","29","3"
"173","173","Wagner","18-12",26.7,"","29","3"
"174","174","TCU","8-22",16.7,"","29","3"
"175","175","Nebraska Omaha","13-14",21.8,"","29","3"
"176","176","Northern Colorad","16-12",24.8,"","29","3"
"177","177","Duquesne","13-17",22,"","29","3"
"178","178*","Coastal Carolina","18-12",27.1,"16","29","3"
"179","179","Bucknell","16-14",25.1,"","29","3"
"180","180","Wright State","18-14",27.2,"","29","3"
"181","181","Bryant Universit","17-14",26.2,"","29","3"
"182","182","Washington State","9-21",18.3,"","29","3"
"183","183","Hampton","18-12",27.3,"","29","3"
"184","184","Alabama State","16-11",25.4,"","29","3"
"185","185","Radford","18-12",27.4,"","29","3"
"186","186","Virginia Militar","15-12",24.4,"","29","3"
"187","187","Texas A&M-CC","16-13",25.5,"","29","3"
"188","188","Drake","14-16",23.6,"","29","3"
"189","189","USC Upstate","17-14",26.6,"","29","3"
"190","190","Montana","15-13",24.6,"","29","3"
"191","191","Valparaiso","15-15",24.8,"","29","3"
"192","192","Arkansas-Little","13-16",22.9,"","29","3"
"193","193","Winthrop","17-13",26.9,"","29","3"
"194","194","Grand Canyon","12-14",21.9,"","29","3"
"195","195","FIU","13-15",22.9,"","29","3"
"196","196","Mississippi Stat","14-19",23.9,"","29","3"
"197","197","Albany","17-14",26.9,"","29","3"
"198","198","Norfolk State","16-13",26,"","29","3"
"199","199","Loyola Marymount","12-19",22,"","29","3"
"200","200","Texas-Arlington","13-16",23,"","29","3"
"201","201","St. Francis (NY)","17-14",27.1,"","29","3"
"202","202","South Florida","12-20",22.1,"","29","3"
"203","203","North Florida","14-16",24.2,"","29","3"
"204","204","Portland State","15-13",25.2,"","29","3"
"205","205","Oral Roberts","15-16",25.3,"","29","3"
"206","206","High Point","14-14",24.3,"","29","3"
"207","207","Morgan State","14-15",24.4,"","29","3"
"208","208","George Mason","11-20",21.4,"","29","3"
"209","209*","Mount St. Mary's","16-16",26.4,"16","29","3"
"210","210","Rutgers","11-21",21.4,"","29","3"
"211","211","Old Dominion","16-17",26.6,"","29","3"
"212","212","North Texas","14-16",24.6,"","29","3"
"213","213","Santa Clara","12-19",22.6,"","29","3"
"214","214","Texas Southern","16-14",26.7,"","29","3"
"215","215","North Dakota","14-15",24.7,"","29","3"
"216","216","Southeast Missou","16-14",26.9,"","29","3"
"217","217","Chattanooga","15-14",25.9,"","29","3"
"218","218","Siena","15-17",25.9,"","29","3"
"219","219","Miami (OH)","13-17",24,"","29","3"
"220","220","Virginia Tech","9-22",20.1,"","29","3"
"221","221","Tulane","16-16",27.1,"","29","3"
"222","222","Temple","9-22",20.1,"","29","3"
"223","223","Gardner-Webb","15-15",26.1,"","29","3"
"224","224","Louisiana-Monroe","9-17",20.1,"","29","3"
"225","225","New Orleans","9-15",20.2,"","29","3"
"226","226","Boston College","7-24",18.2,"","29","3"
"227","227","Kent State","15-16",26.2,"","29","3"
"228","228","North Carolina-A","14-15",25.3,"","29","3"
"229","229","Lipscomb","14-15",25.3,"","29","3"
"230","230","Dartmouth","10-16",21.3,"","29","3"
"231","231","Youngstown State","12-17",23.3,"","29","3"
"232","232","East Carolina","13-16",24.3,"","29","3"
"233","233","Northern Illinoi","14-17",25.4,"","29","3"
"234","234","Western Carolina","16-15",27.4,"","29","3"
"235","235","Air Force","10-18",21.4,"","29","3"
"236","236","Fordham","10-21",21.5,"","29","3"
"237","237","Nicholls State","13-15",24.6,"","29","3"
"238","238","Rider","14-17",25.6,"","29","3"
"239","239","Eastern Washingt","13-16",24.6,"","29","3"
"240","240","Oakland","11-20",22.7,"","29","3"
"241","241","Cal Poly","9-19",20.8,"","29","3"
"242","242","Evansville","12-19",23.8,"","29","3"
"243","243","Hartford","17-16",28.8,"","29","3"
"244","244","Army","14-16",26,"","29","3"
"245","245","East Tennessee S","17-15",29.1,"","29","3"
"246","246","Tennessee Tech","15-16",27.2,"","29","3"
"247","247","St. Peter's","14-17",26.4,"","29","3"
"248","248","Alabama A&M","12-15",24.4,"","29","3"
"249","249","Southern Illinoi","13-19",25.5,"","29","3"
"250","250","South Dakota","9-18",21.6,"","29","3"
"251","251","Cal State Northr","14-17",26.6,"","29","3"
"252","252","Charleston","13-18",25.7,"","29","3"
"253","253","Arkansas-Pine Bl","11-18",23.8,"","29","3"
"254","254","Northern Arizona","14-17",26.8,"","29","3"
"255","255","Sacramento State","12-16",24.9,"","29","3"
"256","256","Lehigh","14-18",27,"","29","3"
"257","257","Detroit","11-19",24,"","29","3"
"258","258","Idaho","14-17",27.1,"","29","3"
"259","259","Mass Lowell","9-18",22.3,"","29","3"
"260","260*","N.J.I.T.","9-16",22.3,"16","29","3"
"261","261","Seattle","11-17",24.4,"","29","3"
"262","262","Colgate","12-18",25.4,"","29","3"
"263","263","Savannah State","11-19",24.5,"","29","3"
"264","264","Chicago State","11-19",24.5,"","29","3"
"265","265","Marist","12-19",25.6,"","29","3"
"266","266","Bowling Green","11-20",24.7,"","29","3"
"267","267","UMKC","10-19",23.7,"","29","3"
"268","268","Bradley","12-20",25.7,"","29","3"
"269","269","Coppin State","11-19",24.8,"","29","3"
"270","270","Pennsylvania","8-20",21.9,"","29","3"
"271","271","Jacksonville","10-18",24,"","29","3"
"272","272","McNeese State","9-20",23,"","29","3"
"273","273","Charleston South","9-18",23.1,"","29","3"
"274","274","Montana State","12-17",26.1,"","29","3"
"275","275","Idaho State","9-18",23.2,"","29","3"
"276","276","Loyola (MD)","10-19",24.3,"","29","3"
"277","277","South Alabama","8-20",22.3,"","29","3"
"278","278","UNC Greensboro","11-18",25.4,"","29","3"
"279","279","Cal State Fuller","11-20",25.6,"","29","3"
"280","280","Cal State Bakers","12-18",26.7,"","29","3"
"281","281","Florida A&M","12-18",26.8,"","29","3"
"282","282","Abilene Christia","2-19",16.9,"","29","3"
"283","283","Northeastern","11-21",25.9,"","29","3"
"284","284","Southeastern Lou","10-18",25,"","29","3"
"285","285","James Madison","11-20",26,"","29","3"
"286","286","Lafayette","10-20",25.1,"","29","3"
"287","287","Austin Peay","10-18",25.1,"","29","3"
"288","288","Fairleigh Dickin","9-20",24.2,"","29","3"
"289","289","Western Illinois","7-20",22.3,"","29","3"
"290","290","Troy","9-20",24.3,"","29","3"
"291","291","Eastern Illinois","9-19",24.6,"","29","3"
"292","292","Central Connecti","10-19",25.7,"","29","3"
"293","293","Alcorn State","9-19",24.7,"","29","3"
"294","294","Monmouth","11-21",26.9,"","29","3"
"295","295","Georgia Southern","12-19",27.9,"","29","3"
"296","296","Texas-San Antoni","6-21",22,"","29","3"
"297","297","Jackson State","11-20",27.2,"","29","3"
"298","298","San Jose State","5-24",21.2,"","29","3"
"299","299","Florida Atlantic","8-22",24.3,"","29","3"
"300","300","Campbell","9-19",25.4,"","29","3"
"301","301","Marshall","9-22",25.4,"","29","3"
"302","302","Long Island","9-20",25.5,"","29","3"
"303","303","UC Riverside","8-21",24.5,"","29","3"
"304","304","Delaware State","7-21",23.7,"","29","3"
"305","305","SIU Edwardsville","9-20",25.7,"","29","3"
"306","306","Samford","10-20",26.7,"","29","3"
"307","307","Central Michigan","8-21",24.8,"","29","3"
"308","308","Loyola (IL)","9-22",25.8,"","29","3"
"309","309","UC Davis","7-22",24,"","29","3"
"310","310","South Carolina S","7-21",24,"","29","3"
"311","311","UMBC","8-21",25.1,"","29","3"
"312","312","Northern Kentuck","9-21",26.1,"","29","3"
"313","313","Navy","8-21",25.1,"","29","3"
"314","314","North Carolina-W","7-23",24.2,"","29","3"
"315","315","Furman","7-20",24.2,"","29","3"
"316","316","Jacksonville Sta","8-21",25.3,"","29","3"
"317","317","Hofstra","10-23",27.3,"","29","3"
"318","318","St. Francis (PA)","10-21",27.3,"","29","3"
"319","319","Prairie View A&M","9-22",26.4,"","29","3"
"320","320","Rice","5-23",22.4,"","29","3"
"321","321","Central Arkansas","6-21",23.5,"","29","3"
"322","322","Texas State","6-23",23.6,"","29","3"
"323","323","Appalachian Stat","5-21",22.7,"","29","3"
"324","324","Liberty","8-21",26.2,"","29","3"
"325","325","Tennessee-Martin","6-23",24.6,"","29","3"
"326","326","Maine","5-23",23.7,"","29","3"
"327","327","Fairfield","7-25",25.8,"","29","3"
"328","328","Ball State","3-25",21.8,"","29","3"
"329","329","Mississippi Vall","6-23",25.1,"","29","3"
"330","330","Illinois-Chicago","4-25",23.2,"","29","3"
"331","331","Binghamton","7-23",26.2,"","29","3"
"332","332","North Carolina A","8-23",27.3,"","29","3"
"333","333","Texas-Pan Americ","8-23",27.3,"","29","3"
"334","334","Maryland-Eastern","5-23",24.5,"","29","3"
"335","335","Cornell","1-26",20.6,"","29","3"
"336","336","Tennessee State","4-25",23.9,"","29","3"
"337","337","Grambling State","4-23",24.2,"","29","3"
"338","338","Longwood","4-24",24.2,"","29","3"
"339","339","New Hampshire","5-24",25.2,"","29","3"
"340","340","Stetson","7-24",27.3,"","29","3"
"341","341","Howard","6-25",26.4,"","29","3"
"342","342","IUPUI","3-26",23.7,"","29","3"
"343","343","Niagara","7-26",27.7,"","29","3"
"344","344","Houston Baptist","4-25",24.7,"","29","3"
"345","345","Kennesaw State","4-25",25,"","29","3"
"346","346","Citadel","4-25",25.6,"","29","3"
"347","347","Bethune-Cookman","5-25",26.6,"","29","3"
"348","348","Lamar","4-26",26.3,"","29","3"
"349","349","Sacred Heart","5-26",27.7,"","29","3"
"350","350","Southern Utah","1-27",23.7,"","29","3"
"351","351","Presbyterian","4-26",27.2,"","29","3"
