"","Rank","Team","W.L","SOS","Seed","w","l"
"1","1*","Arizona","29-3",19.3,"1","29","3"
"2","2*","Florida","29-2",20,"1","29","3"
"3","3*","Villanova","28-4",19.6,"1","29","3"
"4","4*","Syracuse","27-4",19.3,"1","29","3"
"5","5*","Wisconsin","25-6",17.5,"2","29","3"
"6","6*","Kansas","24-8",16.5,"2","29","3"
"7","7","Michigan","23-7",16.2,"2","29","3"
"8","8*","Wichita State","33-0",26.4,"2","29","3"
"9","9","Iowa State","24-7",17.7,"3","29","3"
"10","10","Creighton","25-6",19.3,"3","29","3"
"11","11*","San Diego State","26-3",20.4,"3","29","3"
"12","12","Virginia","25-6",19.9,"3","29","3"
"13","13","Michigan State","23-8",17.9,"4","29","3"
"14","14*","Cincinnati","27-5",22.1,"4","29","3"
"15","15","Duke","24-7",19.2,"4","29","3"
"16","16","Texas","23-9",18.6,"4","29","3"
"17","17","Oklahoma","23-9",18.8,"5","29","3"
"18","18","Ohio State","24-8",19.9,"5","29","3"
"19","19","Connecticut","25-7",21.2,"5","29","3"
"20","20","Louisville","27-5",23.3,"5","29","3"
"21","21","North Carolina","23-8",19.5,"6","29","3"
"22","22","UCLA","24-8",20.6,"6","29","3"
"23","23*","Gonzaga","27-6",23.6,"6","29","3"
"24","24","Baylor","21-10",17.8,"6","29","3"
"25","25*","Saint Louis","25-5",21.9,"7","29","3"
"26","26","Colorado","23-10",20.2,"7","29","3"
"27","27","Pittsburgh","24-8",21.2,"7","29","3"
"28","28","New Mexico","25-6",22.2,"7","29","3"
"29","29","Massachusetts","24-7",21.3,"8","29","3"
"30","30","Oregon","23-9",20.3,"8","29","3"
"31","31","Kentucky","22-9",19.6,"8","29","3"
"32","32","Memphis","22-9",19.8,"8","29","3"
"33","33","Virginia Commonw","24-7",22,"9","29","3"
"34","34","George Washingto","23-7",21.1,"9","29","3"
"35","35","Oklahoma State","21-12",19.2,"9","29","3"
"36","36","Xavier","21-11",19.3,"9","29","3"
"37","37","Stanford","21-11",19.4,"10","29","3"
"38","38","Arizona State","21-11",19.5,"10","29","3"
"39","39","Nebraska","19-11",17.5,"10","29","3"
"40","40","Providence","21-11",19.6,"10","29","3"
"41","41*","Harvard","25-4",23.7,"11","29","3"
"42","42","Iowa","20-12",19,"11","29","3"
"43","43","Kansas State","20-12",19,"11","29","3"
"44","44","Minnesota","19-12",18.3,"11","29","3"
"45","45","Southern Methodi","23-9",22.3,"12*","29","3"
"46","46","Missouri","22-10",21.4,"12*","29","3"
"47","47","Florida State","19-12",18.5,"12*","29","3"
"48","48*","Southern Miss","25-5",24.5,"12","29","3"
"49","49","Illinois","19-13",18.7,"12*","29","3"
"50","50*","Stephen F. Austi","27-2",26.8,"13","29","3"
"51","51","Brigham Young","22-11",22,"","29","3"
"52","52","Saint Joseph's","21-9",21.1,"","29","3"
"53","53","Utah","19-11",19.2,"","29","3"
"54","54*","Toledo","25-5",25.2,"13","29","3"
"55","55","Dayton","23-9",23.2,"","29","3"
"56","56","St. John's","20-12",20.2,"","29","3"
"57","57","California","19-13",19.4,"","29","3"
"58","58*","North Dakota Sta","22-6",22.6,"13","29","3"
"59","59","Clemson","20-11",20.6,"","29","3"
"60","60","Tennessee","19-11",19.6,"","29","3"
"61","61","Green Bay","21-6",21.8,"","29","3"
"62","62","North Carolina S","20-12",20.8,"","29","3"
"63","63","Arkansas","21-11",21.8,"","29","3"
"64","64","Louisiana Tech","25-6",25.9,"","29","3"
"65","65","Georgetown","17-14",18.3,"","29","3"
"66","66","LSU","19-12",20.6,"","29","3"
"67","67*","North Carolina C","24-5",25.7,"13","29","3"
"68","68","West Virginia","17-15",18.7,"","29","3"
"69","69","Marquette","17-15",18.8,"","29","3"
"70","70*","Manhattan","25-7",26.8,"14","29","3"
"71","71","Saint Mary's","21-11",23.4,"","29","3"
"72","72","San Francisco","19-11",21.5,"","29","3"
"73","73","Indiana","17-15",19.5,"","29","3"
"74","74","Georgia","18-12",20.5,"","29","3"
"75","75","Maryland","17-15",19.6,"","29","3"
"76","76","Middle Tennessee","22-8",24.6,"","29","3"
"77","77*","Delaware","25-9",27.8,"14","29","3"
"78","78*","Georgia State","22-7",25,"14","29","3"
"79","79","Mississippi","19-13",22.1,"","29","3"
"80","80","Indiana State","21-10",24.2,"","29","3"
"81","81*","UC Santa Barbara","19-9",22.3,"14","29","3"
"82","82","Boise State","19-12",22.4,"","29","3"
